# Collocations

# Corpus: nature_full
# Query:  word,[lc="iron"|lemma_lc="iron"] 9677

	Freq	T-score	MI	logDice	
iron	40	6.070	4.636	6.149	
Ferrous	21	4.582	12.164	6.148	
cobalt	22	4.671	7.901	6.146	
phosphate	31	5.410	5.144	6.134	
reducers	21	4.568	8.250	6.097	
phytoplankton	30	5.320	5.125	6.096	
low	63	7.461	4.059	6.089	
dissolvable	20	4.471	11.930	6.077	
stimulated	23	4.738	6.379	6.074	
nanodots	20	4.468	9.983	6.066	
porphyrin	20	4.464	9.153	6.053	
limits	24	4.813	5.832	6.037	
microbial	79	8.272	3.851	6.031	
ions	27	5.060	5.249	6.028	
magnesium	21	4.548	7.037	6.027	
Oxide	19	4.350	8.984	5.977	
total	58	7.118	3.934	5.966	
sources	30	5.273	4.747	5.961	
molten	19	4.345	8.276	5.958	
nitrogen	43	6.189	4.152	5.944	
Ferric	18	4.241	11.498	5.925	
biogeochemistry	19	4.334	7.466	5.923	
ecosystem-scale	18	4.240	10.885	5.922	
redox	23	4.691	5.511	5.922	
oxyhydroxide	18	4.240	10.631	5.920	
chelator	18	4.239	10.176	5.917	
dust	22	4.600	5.694	5.909	
ferritin	18	4.227	8.058	5.876	
role	48	6.474	3.931	5.871	
amounts	24	4.756	5.101	5.865	
amount	29	5.152	4.532	5.845	
non-haem	17	4.122	11.803	5.843	
flux	31	5.301	4.385	5.836	
limited	28	5.066	4.555	5.825	
inputs	20	4.394	5.843	5.822	
bioavailable	17	4.115	8.949	5.819	
levels	52	6.680	3.762	5.798	
extraction	23	4.647	5.010	5.795	
seep	17	4.101	7.514	5.773	
limiting	19	4.284	5.860	5.763	
Fe2	17	4.095	7.215	5.757	
by	454	19.027	3.224	5.757	
binding	35	5.559	4.048	5.755	
chemistry	22	4.536	4.926	5.725	
siderophores	16	3.987	8.221	5.717	
fluxes	22	4.529	4.862	5.706	
molybdenum	16	3.982	7.779	5.702	
complexes	21	4.436	4.962	5.687	
when	51	6.558	3.613	5.687	
ocean	44	6.127	3.713	5.686	
competition	20	4.347	5.155	5.685	
an	179	11.949	3.226	5.683	
excess	19	4.254	5.379	5.677	
oxidizing	16	3.967	6.922	5.656	
during	75	7.819	3.363	5.634	
regulation	26	4.830	4.243	5.632	
controls	23	4.584	4.500	5.629	
of	2340	42.541	3.052	5.627	
in	1391	32.806	3.054	5.623	
and	1820	37.499	3.047	5.620	
natural	35	5.493	3.807	5.619	
Southern	21	4.408	4.714	5.614	
such	75	7.804	3.338	5.614	
oxidized	17	4.047	5.754	5.611	
Dissolved	15	3.855	7.738	5.610	
Microorganisms	15	3.853	7.591	5.605	
released	19	4.226	5.036	5.599	
aluminium	15	3.850	7.407	5.596	
essential	23	4.568	4.393	5.589	
partitioning	16	3.944	6.151	5.587	
Effects	18	4.129	5.217	5.581	
out	35	5.473	3.739	5.578	
nitrate	22	4.475	4.445	5.568	
REVIEWSMicroorganisms	14	3.741	12.416	5.565	
or	171	11.555	3.103	5.564	
Mesoscale	14	3.738	9.883	5.555	
Palaeoproterozoic	14	3.737	9.523	5.552	
catalyst	17	4.025	5.400	5.552	
silicon	17	4.025	5.390	5.550	
transporter	17	4.023	5.361	5.544	
loading	17	4.018	5.298	5.532	
response	44	6.036	3.472	5.524	
associated	40	5.779	3.535	5.522	
supplied	15	3.824	6.310	5.520	
cycle	32	5.228	3.723	5.516	
mesoscale	14	3.723	7.665	5.512	
sequestration	15	3.819	6.153	5.504	
requirement	15	3.818	6.151	5.504	
import	14	3.716	7.198	5.491	
mineral	17	3.997	5.035	5.477	
input	18	4.085	4.751	5.468	
dietary	15	3.805	5.826	5.466	
pyrite	14	3.706	6.717	5.463	
EM	14	3.706	6.709	5.462	
into	74	7.625	3.138	5.447	
hydroxides	13	3.601	9.608	5.447	
translocation	15	3.797	5.671	5.445	
Mine	13	3.599	9.209	5.442	
under	49	6.286	3.294	5.441	
upwelled	13	3.597	8.732	5.435	
from	315	15.381	2.906	5.431	
Altered	13	3.595	8.451	5.430	
constraints	16	3.886	5.136	5.430	
meteorite	13	3.593	8.174	5.424	
coordination	14	3.691	6.199	5.420	
compounds	24	4.572	3.905	5.415	
Testing	13	3.590	7.835	5.414	
supplementation	13	3.586	7.501	5.403	
experiments	37	5.509	3.405	5.398	
deposits	15	3.776	5.325	5.390	
mediated	16	3.869	4.933	5.386	
silicate	14	3.677	5.860	5.383	
additions	13	3.577	6.979	5.379	
require	17	3.956	4.627	5.374	
Ocean	26	4.708	3.707	5.373	
acquire	13	3.572	6.745	5.365	
Effect	15	3.762	5.127	5.353	
is	380	16.703	2.804	5.343	
reducing	16	3.849	4.725	5.336	
oxyhydroxides	12	3.461	10.070	5.336	
removal	16	3.847	4.712	5.332	
quotas	12	3.458	9.206	5.328	
regulated	15	3.746	4.926	5.312	
induced	20	4.191	3.990	5.307	
Anthropogenic	12	3.449	7.851	5.303	
meteorites	12	3.446	7.570	5.294	
as	250	13.494	2.770	5.286	
to	760	23.393	2.723	5.285	
supplies	12	3.441	7.223	5.281	
Experiment	12	3.440	7.177	5.279	
on	218	12.599	2.769	5.276	
dissimilatory	12	3.439	7.088	5.274	
Fe3	12	3.435	6.897	5.265	
arsenic	12	3.434	6.869	5.263	
available	24	4.495	3.600	5.262	
precipitated	12	3.430	6.650	5.250	
chloride	14	3.624	4.995	5.247	
metal	18	3.990	4.067	5.246	
rich	13	3.522	5.437	5.234	
isotopes	13	3.520	5.398	5.229	
increased	33	5.125	3.212	5.214	
solubility	12	3.414	6.115	5.210	
soluble	13	3.512	5.271	5.209	
--	41	5.640	3.070	5.207	
carbon	51	6.228	2.967	5.205	
with	348	15.706	2.661	5.200	
crossover	11	3.307	8.383	5.192	
granular	11	3.303	7.898	5.182	
isotope	17	3.871	4.029	5.180	
transferrin	11	3.301	7.685	5.176	
scavenging	11	3.296	7.328	5.164	
form	24	4.435	3.400	5.153	
solid	16	3.764	4.081	5.143	
and/or	15	3.672	4.269	5.141	
controlled	15	3.669	4.249	5.135	
where	32	5.000	3.105	5.128	
reduce	15	3.663	4.208	5.122	
mats	12	3.378	5.329	5.120	
for	423	17.099	2.568	5.117	
adsorption	12	3.374	5.266	5.111	
nitrogenase	11	3.273	6.238	5.105	
high	45	5.803	2.890	5.105	
precipitation	18	3.918	3.710	5.100	
presence	26	4.551	3.219	5.095	
regulatory	15	3.636	4.028	5.063	
can	77	7.403	2.677	5.063	
state	19	3.978	3.517	5.054	
nanocubes	10	3.151	8.087	5.052	
could	37	5.274	2.911	5.052	
microbially	10	3.149	7.905	5.048	
aeolian	10	3.146	7.634	5.041	
bioavailability	10	3.145	7.548	5.039	
oxidase	11	3.244	5.518	5.036	
deprivation	10	3.141	7.226	5.028	
protein	50	6.018	2.747	5.023	
regulates	12	3.335	4.744	5.020	
insoluble	10	3.136	6.898	5.015	
productivity	14	3.521	4.083	5.015	
onto	14	3.519	4.073	5.012	
through	38	5.305	2.842	5.011	
seeps	10	3.133	6.735	5.007	
depletion	12	3.329	4.679	5.006	
carbonate	13	3.422	4.294	5.002	
liquid	15	3.604	3.850	5.000	
adding	11	3.219	5.091	4.978	
ion	14	3.502	3.963	4.976	
between	74	7.164	2.580	4.971	
magnetic	12	3.313	4.516	4.970	
use	28	4.613	2.963	4.969	
that	290	13.872	2.431	4.969	
may	45	5.679	2.705	4.959	
reagent	10	3.111	5.933	4.954	
Synthesis	11	3.205	4.896	4.946	
dust-borne	9	2.999	12.264	4.928	
other	49	5.868	2.628	4.922	
scavenge	9	2.993	8.715	4.912	
Manganese	9	2.993	8.703	4.912	
absorption	12	3.284	4.268	4.910	
delivery	11	3.189	4.695	4.909	
bind	11	3.188	4.693	4.909	
enhanced	14	3.468	3.772	4.908	
lithium	10	3.090	5.456	4.907	
L2	9	2.990	8.185	4.905	
oxygen	20	3.973	3.162	4.904	
access	11	3.186	4.661	4.902	
silicates	9	2.989	8.031	4.902	
light	23	4.202	3.015	4.901	
required	19	3.890	3.216	4.900	
corrosion	9	2.984	7.520	4.890	
efflux	10	3.082	5.296	4.888	
stores	9	2.982	7.347	4.885	
enzymes	16	3.626	3.421	4.877	
Nanoparticles	9	2.977	7.046	4.875	
alloy	9	2.975	6.892	4.869	
Precambrian	9	2.970	6.640	4.858	
releases	9	2.969	6.580	4.855	
labile	9	2.961	6.273	4.838	
binds	10	3.051	4.831	4.821	
calcium	11	3.147	4.286	4.820	
contain	13	3.330	3.708	4.817	
connections	9	2.951	5.942	4.815	
species	47	5.648	2.506	4.810	
nutritional	9	2.948	5.841	4.807	
phase	17	3.666	3.174	4.802	
citrate	9	2.945	5.780	4.802	
rice	11	3.131	4.161	4.789	
algal	10	3.036	4.644	4.788	
silica	10	3.035	4.632	4.786	
mineralization	9	2.935	5.536	4.780	
its	35	4.923	2.575	4.779	
nonheme	8	2.828	11.608	4.758	
fertilisation	8	2.827	10.661	4.756	
Gunflint	8	2.825	9.892	4.753	
particulate	9	2.923	5.280	4.752	
Mines	8	2.825	9.715	4.752	
than	51	5.796	2.408	4.748	
FeT	8	2.823	8.908	4.746	
enhances	9	2.919	5.218	4.745	
Biogenic	8	2.821	8.509	4.742	
Bacterial	11	3.107	3.984	4.741	
Anal	9	2.916	5.158	4.738	
biomineralization	8	2.815	7.765	4.730	
MIT9313	8	2.814	7.576	4.726	
conditions	28	4.424	2.608	4.722	
formed	13	3.277	3.455	4.721	
leads	11	3.095	3.906	4.719	
lower	20	3.846	2.837	4.714	
mobilization	8	2.805	6.932	4.707	
would	24	4.135	2.680	4.706	
abundant	13	3.264	3.400	4.699	
window	29	4.465	2.548	4.692	
high-affinity	8	2.798	6.552	4.692	
precipitate	8	2.797	6.491	4.689	
heme	8	2.796	6.467	4.688	
enrichments	8	2.796	6.444	4.687	
tonnes	8	2.792	6.297	4.679	
store	8	2.792	6.268	4.678	
sedimentary	9	2.883	4.683	4.669	
salts	8	2.787	6.085	4.667	
oceanic	11	3.063	3.709	4.659	
superoxide	8	2.780	5.871	4.652	
Total	9	2.875	4.583	4.652	
Iron	8	2.775	5.722	4.641	
staining	10	2.962	3.983	4.641	
Because	11	3.046	3.617	4.628	
Low	8	2.767	5.521	4.624	
age	12	3.132	3.383	4.623	
hydrothermal	10	2.952	3.912	4.622	
within	28	4.337	2.471	4.621	
mechanisms	15	3.381	2.977	4.613	
both	33	4.644	2.383	4.612	
at	131	8.790	2.107	4.610	
regulate	9	2.853	4.353	4.609	
was	141	9.091	2.093	4.602	
including	20	3.758	2.647	4.595	
respiration	10	2.937	3.810	4.593	
capable	9	2.841	4.239	4.586	
up	17	3.520	2.774	4.582	
(	898	22.509	2.007	4.580	
implicated	8	2.745	5.085	4.579	
systems	18	3.592	2.705	4.574	
increase	22	3.882	2.536	4.567	
Algoma-type	7	2.645	12.223	4.566	
Banded	7	2.645	11.223	4.565	
Complexation	7	2.644	10.831	4.564	
reducible	7	2.644	10.579	4.563	
polyaniline	7	2.642	9.608	4.560	
Fertilization	7	2.642	9.608	4.560	
Rieske	7	2.642	9.551	4.559	
containing	16	3.425	2.799	4.559	
has	46	5.311	2.205	4.553	
President	7	2.638	8.429	4.551	
magnetosomes	7	2.637	8.257	4.548	
oxidizes	7	2.637	8.190	4.548	
Sulfur	7	2.632	7.551	4.537	
coated	8	2.724	4.757	4.537	
pool	9	2.814	4.014	4.535	
oxidative	9	2.814	4.009	4.534	
via	13	3.159	3.012	4.527	
hydrous	7	2.627	7.120	4.527	
obtain	9	2.807	3.958	4.521	
:	200	10.568	1.984	4.519	
sites	18	3.550	2.614	4.518	
Extracellular	7	2.622	6.801	4.517	
open-ocean	7	2.621	6.711	4.514	
inorganic	9	2.802	3.922	4.513	
responses	13	3.146	2.971	4.507	
marine	21	3.759	2.477	4.506	
strongly	10	2.886	3.518	4.504	
sufficient	9	2.796	3.880	4.502	
implications	10	2.883	3.499	4.497	
external	26	4.091	2.339	4.496	
states	9	2.791	3.846	4.493	
contents	8	2.700	4.466	4.491	
involving	8	2.698	4.436	4.486	
mine	7	2.607	6.083	4.485	
nutrition	7	2.606	6.058	4.484	
reactions	11	2.961	3.221	4.483	
influence	12	3.045	3.046	4.481	
respond	8	2.694	4.391	4.478	
physiology	8	2.693	4.388	4.478	
Prochlorococcus	8	2.693	4.387	4.478	
solution	15	3.287	2.723	4.476	
which	69	6.271	2.029	4.470	
biogeochemical	8	2.689	4.342	4.469	
deficient	7	2.599	5.820	4.469	
uranium	7	2.597	5.751	4.465	
deposit	7	2.595	5.711	4.462	
bubbles	7	2.592	5.616	4.455	
nanocrystals	7	2.590	5.561	4.451	
needed	9	2.766	3.681	4.448	
efficient	9	2.765	3.677	4.447	
contains	10	2.853	3.353	4.447	
extra	7	2.586	5.477	4.444	
site	16	3.337	2.594	4.440	
determination	8	2.670	4.158	4.434	
Influence	7	2.579	5.318	4.431	
.	1608	28.978	1.850	4.429	
colloidal	7	2.578	5.286	4.428	
areas	12	3.009	2.930	4.427	
distribution	17	3.400	2.512	4.423	
altered	8	2.663	4.099	4.422	
aquatic	8	2.661	4.076	4.417	
variations	10	2.829	3.245	4.407	
Increased	7	2.566	5.059	4.405	
seawater	9	2.741	3.536	4.405	
mediates	7	2.566	5.053	4.405	
present	18	3.455	2.430	4.400	
take	8	2.648	3.972	4.395	
S.	51	5.352	1.997	4.394	
News	9	2.732	3.487	4.390	
mechanism	13	3.064	2.735	4.388	
aqueous	8	2.641	3.914	4.381	
measured	16	3.289	2.492	4.378	
compound	8	2.639	3.897	4.378	
proteins	25	3.909	2.196	4.374	
mediate	7	2.550	4.785	4.374	
the	1159	24.240	1.796	4.373	
forms	9	2.720	3.419	4.369	
regime	7	2.547	4.739	4.368	
pathways	12	2.967	2.802	4.365	
ammonium	8	2.631	3.840	4.364	
enzyme	11	2.883	2.934	4.361	
Role	7	2.542	4.679	4.360	
cyanobacteria	8	2.627	3.811	4.357	
system	21	3.624	2.257	4.352	
effect	17	3.340	2.397	4.350	
-	76	6.356	1.884	4.349	
Superior-type	6	2.449	12.416	4.344	
Brockman	6	2.448	10.608	4.341	
fractionation	7	2.532	4.545	4.341	
siderophore-mediated	6	2.448	10.541	4.341	
Oxides	6	2.447	9.871	4.339	
chelated	6	2.447	9.871	4.339	
monosulphide	6	2.447	9.715	4.339	
rubble	6	2.446	9.477	4.338	
dismutases	6	2.446	9.386	4.337	
chelate	6	2.445	9.094	4.336	
macronutrients	6	2.444	8.935	4.335	
carbide	6	2.444	8.831	4.334	
asbestos	6	2.438	7.753	4.322	
complex	16	3.241	2.397	4.319	
utilization	7	2.519	4.380	4.316	
stress-induced	6	2.435	7.393	4.316	
supplying	6	2.434	7.300	4.314	
coordinating	6	2.431	7.076	4.309	
shallow-water	6	2.431	7.052	4.308	
chert	6	2.431	7.041	4.308	
MED4	6	2.429	6.882	4.304	
dynamics	12	2.921	2.674	4.301	
metals	7	2.509	4.272	4.299	
controlling	7	2.508	4.259	4.296	
vacuolar	6	2.424	6.604	4.295	
because	17	3.293	2.312	4.295	
Although	14	3.070	2.477	4.292	
being	11	2.834	2.781	4.290	
oceans	8	2.586	3.546	4.288	
upwelling	7	2.502	4.205	4.287	
putative	8	2.584	3.534	4.285	
siderophore	6	2.416	6.174	4.278	
related	13	2.982	2.532	4.278	
Nature	33	4.276	1.968	4.277	
If	9	2.662	3.149	4.276	
decreased	9	2.661	3.147	4.275	
but	33	4.273	1.965	4.275	
radioactive	6	2.412	6.032	4.272	
marker	7	2.493	4.119	4.271	
Global	9	2.657	3.127	4.268	
biological	12	2.896	2.609	4.267	
couple	6	2.408	5.877	4.264	
bacteria	25	3.785	2.041	4.257	
are	123	7.761	1.736	4.252	
hepatic	6	2.399	5.587	4.246	
more	31	4.125	1.949	4.245	
reductase	7	2.478	3.982	4.245	
effects	17	3.247	2.234	4.243	
making	7	2.474	3.947	4.238	
active	12	2.874	2.554	4.238	
surfaces	8	2.555	3.368	4.236	
probable	6	2.390	5.360	4.230	
transfer	11	2.791	2.657	4.230	
so	12	2.863	2.527	4.223	
delivered	6	2.384	5.218	4.219	
coordinated	6	2.382	5.173	4.215	
Pseudomonas	8	2.541	3.300	4.215	
possibly	7	2.459	3.822	4.212	
macrophage	6	2.379	5.116	4.210	
include	9	2.617	2.968	4.207	
without	12	2.849	2.494	4.205	
nanoparticle	6	2.375	5.044	4.204	
pure	7	2.454	3.785	4.203	
alteration	6	2.373	4.999	4.199	
recycling	6	2.373	4.998	4.199	
suggests	10	2.688	2.739	4.197	
exogenous	6	2.371	4.966	4.196	
highly	12	2.841	2.476	4.195	
large-scale	7	2.448	3.740	4.193	
upregulated	6	2.367	4.893	4.189	
will	18	3.263	2.114	4.187	
An	11	2.755	2.561	4.182	
crystalline	6	2.361	4.795	4.178	
center	6	2.361	4.788	4.178	
melting	7	2.436	3.655	4.173	
European	7	2.432	3.628	4.167	
The	152	8.356	1.634	4.167	
elemental	6	2.350	4.615	4.158	
rates	15	3.027	2.195	4.156	
importance	8	2.495	3.086	4.144	
often	9	2.570	2.802	4.140	
nor	6	2.338	4.461	4.138	
pore	7	2.413	3.508	4.137	
showed	12	2.794	2.370	4.136	
less	12	2.793	2.369	4.136	
tip	6	2.337	4.441	4.136	
dependent	7	2.407	3.471	4.127	
contributes	6	2.328	4.333	4.120	
assimilation	6	2.327	4.326	4.119	
mat	6	2.327	4.323	4.119	
c	18	3.194	2.016	4.117	
acidification	6	2.326	4.305	4.116	
detected	11	2.703	2.435	4.116	
mammalian	7	2.400	3.427	4.115	
pools	6	2.324	4.286	4.114	
primary	10	2.625	2.556	4.111	
extracellular	7	2.395	3.398	4.108	
characterization	8	2.470	2.978	4.106	
Diversity	6	2.318	4.217	4.103	
catalytic	7	2.390	3.371	4.100	
host	14	2.906	2.163	4.100	
much	11	2.690	2.404	4.099	
acidic	6	2.306	4.091	4.083	
Chemistry	6	2.305	4.083	4.082	
dinitrosyl	5	2.236	12.416	4.081	
Kuruman	5	2.236	12.153	4.081	
Dumping	5	2.235	11.738	4.080	
Superparamagnetic	5	2.235	11.568	4.080	
haem-bound	5	2.235	11.416	4.080	
bacteriogenic	5	2.235	10.930	4.079	
elevated	7	2.376	3.295	4.079	
local	9	2.525	2.660	4.078	
Pumping	5	2.234	10.094	4.078	
Lightning	5	2.234	9.831	4.077	
zero-valent	5	2.234	9.831	4.077	
circumneutral	5	2.231	8.905	4.073	
spherules	5	2.231	8.693	4.072	
Paleoproterozoic	5	2.231	8.693	4.072	
facilitate	6	2.297	4.003	4.068	
how	11	2.665	2.347	4.068	
,	1634	25.996	1.486	4.066	
extractable	5	2.227	7.956	4.065	
Helen	5	2.227	7.943	4.065	
result	11	2.661	2.339	4.064	
waters	9	2.513	2.623	4.062	
affects	6	2.293	3.968	4.062	
organically	5	2.225	7.661	4.062	
phosphorous	5	2.225	7.650	4.061	
assimilatory	5	2.224	7.588	4.061	
organic	13	2.800	2.162	4.060	
siderite	5	2.222	7.311	4.056	
Fe2O3	5	2.221	7.238	4.055	
phosphates	5	2.219	7.037	4.051	
hTF	5	2.218	6.983	4.050	
FeS	5	2.217	6.911	4.048	
Importance	5	2.216	6.831	4.046	
suggesting	8	2.427	2.816	4.045	
contribute	7	2.352	3.173	4.043	
reacts	5	2.214	6.672	4.042	
ore	5	2.213	6.624	4.041	
alloys	5	2.213	6.608	4.040	
genes	26	3.587	1.754	4.040	
precipitates	5	2.211	6.494	4.037	
dioxygenase	5	2.211	6.494	4.037	
reaction	11	2.634	2.280	4.031	
excretion	5	2.207	6.246	4.029	
their	28	3.679	1.714	4.026	
fertilized	5	2.205	6.156	4.026	
Transport	5	2.203	6.076	4.022	
affinity	6	2.266	3.738	4.018	
control	17	3.025	1.909	4.017	
might	12	2.692	2.165	4.016	
pneumococcal	5	2.199	5.927	4.016	
steel	5	2.198	5.873	4.014	
induces	6	2.263	3.715	4.013	
element	6	2.263	3.715	4.013	
catalysed	5	2.195	5.763	4.008	
example	16	2.946	1.924	4.002	
oxidize	5	2.191	5.626	4.001	
absence	8	2.393	2.699	3.998	
Sources	5	2.186	5.476	3.993	
cyan	5	2.185	5.452	3.991	
Age	5	2.185	5.441	3.991	
cluster	8	2.386	2.675	3.988	
resulting	9	2.453	2.457	3.984	
were	100	6.386	1.468	3.984	
diets	5	2.179	5.284	3.981	
macrophages	6	2.242	3.559	3.980	
coupled	7	2.308	2.972	3.978	
PSI	5	2.177	5.232	3.977	
deposited	6	2.237	3.526	3.973	
changing	6	2.236	3.519	3.971	
core	9	2.441	2.424	3.969	
N.	15	2.846	1.914	3.968	
activity	17	2.971	1.840	3.967	
P.	29	3.644	1.629	3.964	
suggest	9	2.434	2.405	3.959	
also	32	3.781	1.593	3.954	
`	19	3.078	1.767	3.954	
per	15	2.826	1.888	3.949	
Mechanisms	5	2.159	4.860	3.948	
Microbial	7	2.283	2.868	3.943	
stored	6	2.215	3.382	3.939	
occurs	7	2.280	2.854	3.938	
alone	6	2.213	3.375	3.937	
``	10	2.482	2.217	3.935	
fraction	8	2.344	2.544	3.932	
produced	9	2.409	2.344	3.929	
another	7	2.273	2.828	3.928	
higher	13	2.674	1.953	3.926	
accumulate	5	2.144	4.597	3.922	
should	10	2.466	2.184	3.916	
From	6	2.198	3.284	3.914	
particle	6	2.197	3.278	3.912	
environments	8	2.327	2.497	3.912	
additional	8	2.326	2.492	3.909	
regarding	5	2.135	4.461	3.908	
grains	5	2.134	4.452	3.907	
directly	8	2.322	2.483	3.905	
regulating	5	2.131	4.411	3.902	
limit	6	2.184	3.206	3.894	
sodium	6	2.184	3.205	3.893	
unique	7	2.246	2.727	3.892	
new	14	2.702	1.848	3.891	
ratios	7	2.244	2.719	3.889	
not	41	4.085	1.466	3.887	
Late	5	2.121	4.286	3.887	
purple	5	2.118	4.239	3.881	
A.	41	4.063	1.452	3.875	
caused	7	2.234	2.683	3.875	
necessary	6	2.168	3.123	3.871	
four	9	2.358	2.225	3.868	
over	18	2.913	1.674	3.864	
aeruginosa	6	2.162	3.093	3.862	
peaks	6	2.160	3.083	3.859	
MB	5	2.104	4.078	3.859	
must	7	2.220	2.637	3.857	
resulted	6	2.152	3.040	3.847	
based	13	2.593	1.832	3.846	
affected	6	2.149	3.028	3.844	
known	11	2.465	1.961	3.843	
depend	5	2.090	3.937	3.837	
well	13	2.581	1.815	3.834	
poorly	5	2.088	3.916	3.834	
E.	25	3.249	1.514	3.832	
promotes	5	2.086	3.896	3.831	
reduces	5	2.084	3.883	3.829	
receptor	7	2.197	2.561	3.827	
either	9	2.322	2.145	3.826	
bacterium	6	2.136	2.964	3.824	
rock	5	2.081	3.850	3.824	
influences	5	2.081	3.848	3.823	
major	9	2.317	2.136	3.821	
responsible	6	2.133	2.952	3.821	
requires	6	2.130	2.939	3.817	
centre	5	2.073	3.778	3.812	
operon	5	2.071	3.757	3.808	
processes	10	2.368	1.994	3.808	
measurements	9	2.305	2.109	3.807	
late	6	2.121	2.898	3.804	
like	6	2.121	2.896	3.804	
export	5	2.067	3.722	3.802	
restricted	5	2.062	3.680	3.794	
degradation	7	2.170	2.475	3.792	
contained	6	2.112	2.860	3.792	
varying	5	2.057	3.644	3.788	
plus	5	2.057	3.640	3.787	
hot	5	2.056	3.638	3.787	
probably	7	2.162	2.452	3.783	
supplemented	5	2.053	3.609	3.781	
become	6	2.103	2.823	3.780	
surface	20	2.910	1.518	3.776	
if	9	2.276	2.051	3.775	
atmospheric	9	2.275	2.049	3.774	
aerobic	5	2.042	3.526	3.765	
red	10	2.324	1.916	3.762	
pentacarbonyl	4	2.000	12.094	3.759	
mineral-bound	4	1.999	11.608	3.759	
sequestrating	4	1.999	11.608	3.759	
organically-bound	4	1.999	11.416	3.758	
30-nm	4	1.999	11.246	3.758	
nanodot	4	1.999	10.831	3.758	
unincorporated	4	1.998	10.168	3.757	
life	7	2.141	2.390	3.756	
biofortification	4	1.997	9.371	3.755	
chelates	4	1.997	9.286	3.754	
high-valent	4	1.997	9.286	3.754	
FeHR	4	1.997	9.206	3.754	
Metallic	4	1.996	9.058	3.754	
ores	4	1.996	8.861	3.753	
dump	4	1.995	8.715	3.752	
homoeostasis	4	1.995	8.509	3.751	
precursor	5	2.031	3.449	3.750	
remove	5	2.030	3.442	3.749	
G.	19	2.820	1.502	3.748	
Confirmation	4	1.993	8.076	3.748	
sequesters	4	1.992	7.940	3.746	
halogenase	4	1.992	7.892	3.746	
K-edge	4	1.990	7.701	3.744	
Scn-Ngal	4	1.990	7.661	3.744	
activities	6	2.075	2.709	3.743	
